Edit Distance Threshold,Read Error Frequency,CPU Time (seconds),Alignment_Needed,Not_Needed,Correct Alignment,Incorrect Alignment,Fraction Correct,Fraction False Positive,Fraction False Negative
0,1,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
0,2,0.0100,1,999,1000,0,1.000000,0.000000,0.000000
0,3,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
0,4,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,5,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,6,0.0100,0,1000,999,1,0.999000,0.000000,0.001000
0,7,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
0,8,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
0,9,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,10,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
0,11,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,12,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,13,0.0100,0,1000,999,1,0.999000,0.000000,0.001000
0,14,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
0,15,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,16,0.0100,0,1000,999,1,0.999000,0.000000,0.001000
0,17,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,18,0.0100,0,1000,999,1,0.999000,0.000000,0.001000
0,19,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,20,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,21,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,22,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,23,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,24,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
0,25,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
1,1,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,2,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,3,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,4,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,5,0.0100,1,999,1000,0,1.000000,0.000000,0.000000
1,6,0.0100,1,999,1000,0,1.000000,0.000000,0.000000
1,7,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,8,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,9,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,10,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,11,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,12,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,13,0.0200,1,999,1000,0,1.000000,0.000000,0.000000
1,14,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
1,15,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
1,16,0.0100,1,999,1000,0,1.000000,0.000000,0.000000
1,17,0.0000,0,1000,999,1,0.999000,0.000000,0.001000
1,18,0.0100,1,999,1000,0,1.000000,0.000000,0.000000
1,19,0.0000,1,999,1000,0,1.000000,0.000000,0.000000
